insertId,jsonPayload.message,"labels.""compute.googleapis.com/resource_name""",logName,receiveLocation,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
1unlizifk3imd4,"Mar 19 21:22:56 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [19/Mar/2025:21:22:56 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 21:22:56.026607+00:00
1unlizifk3imd3,"Mar 19 21:22:56 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:21:22:56 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 21:22:56.024868+00:00
loig4jfcoefh4,"Mar 18 02:44:24 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [18/Mar/2025:02:44:24 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 02:44:24.851435+00:00
loig4jfcoefh3,"Mar 18 02:44:24 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [18/Mar/2025:02:44:24 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 02:44:24.849830+00:00
loktrqfct6yll,"Mar 18 02:44:11 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [18/Mar/2025:02:44:11 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 02:44:11.753440+00:00
loktrqfct6ylk,"Mar 18 02:44:11 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [18/Mar/2025:02:44:11 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 02:44:11.751943+00:00
1s3sthwf97c0q1,"Mar 17 00:26:26 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [17/Mar/2025:00:26:26 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-17 00:26:26.959397+00:00
1s3sthwf97c0q0,"Mar 17 00:26:26 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [17/Mar/2025:00:26:26 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-17 00:26:26.957743+00:00
s1qcvgf9l3zbv,"Mar 17 00:26:13 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [17/Mar/2025:00:26:13 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-17 00:26:13.346315+00:00
s1qcvgf9l3zbu,"Mar 17 00:26:13 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [17/Mar/2025:00:26:13 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-17 00:26:13.344793+00:00
