insertId,jsonPayload.message,"labels.""compute.googleapis.com/resource_name""",logName,receiveLocation,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
1aoheksfkgebp3,Mar 19 23:35:32 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 23:35:32.986821+00:00
1aoheksfkgebop,Mar 19 23:35:32 gradeview-vm docker[1678807]: gradeview-api            |     at getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:25:15),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 23:35:32.610592+00:00
1aoheksfkgebol,Mar 19 23:35:32 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 23:35:32.599028+00:00
1hjw1ebfjv27pv,Mar 19 21:21:42 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 21:21:42.805057+00:00
1p397pmfiwn77z,Mar 19 21:21:42 gradeview-vm docker[1678807]: gradeview-api            |     at getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:25:15),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 21:21:42.466114+00:00
1p397pmfiwn77w,Mar 19 21:21:42 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 21:21:42.127030+00:00
1p397pmfiwn77n,Mar 19 21:21:42 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 21:21:42.116961+00:00
1yz0cqfjp88cz,Mar 19 20:11:54 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:11:54.807574+00:00
fuv5ytf3rzrdr,Mar 19 20:11:54 gradeview-vm docker[1678807]: gradeview-api            |     at getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:25:15),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:11:54.467102+00:00
fuv5ytf3rzrdo,Mar 19 20:11:54 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:11:54.126506+00:00
fuv5ytf3rzrdf,Mar 19 20:11:54 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:11:54.112122+00:00
1kc8vp4fit7w9p,Mar 19 20:11:47 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:11:47.539599+00:00
1e2dctfjnxq65,Mar 19 20:11:47 gradeview-vm docker[1678807]: gradeview-api            |     at getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:25:15),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:11:47.186462+00:00
1e2dctfjnxq62,Mar 19 20:11:47 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:11:47.184524+00:00
1sp0xfbfciouou,Mar 18 02:43:52 gradeview-vm docker[1678807]: gradeview-api            |     at async getEmailFromAuth (file:///api/lib/googleAuthHelper.mjs:14:24),gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 02:43:53.266368+00:00
